Breed,Weight,Chest,Neck,BootSize,Age,Activity,HarnessSize
Dachshund,9.9,37.3,31.3,4,29.0,High,S
Boxer,29.8,68.7,37.2,5,116.0,High,L
Poodle,19.3,54.5,38.0,1,97.0,Low,M
Rottweiler,57.2,87.0,54.8,2,97.0,Low,XL
Golden Retriever,34.0,77.3,39.8,7,47.0,Medium,L
German Shepherd,25.4,77.6,41.2,7,26.0,Low,L
Golden Retriever,32.5,71.8,43.5,6,2.0,High,L
Dachshund,10.6,40.9,32.5,2,23.0,High,S
Labrador,25.7,73.0,48.9,3,110.0,Low,L
German Shepherd,30.0,67.3,45.1,5,84.0,Medium,L
Chihuahua,3.7,27.8,19.0,6,118.0,Medium,XS
Labrador,33.0,81.4,49.5,2,65.0,Medium,XL
Poodle,23.3,,39.3,3,19.0,High,M
Poodle,87.0,58.5,37.1,6,118.0,Medium,M
German Shepherd,31.4,81.9,42.2,3,26.0,Low,XL
Boxer,29.5,60.6,39.9,1,36.0,Medium,M
Golden Retriever,28.6,74.3,41.4,3,93.0,High,L
Bulldog,22.9,,43.2,4,70.0,Low,M
Dachshund,9.0,46.5,31.4,7,57.0,High,S
Bulldog,20.2,69.6,42.1,4,80.0,Medium,L
Chihuahua,3.5,30.3,17.0,7,93.0,High,XS
Labrador,33.5,79.4,42.7,1,4.0,High,L
Rottweiler,50.5,78.4,49.9,6,7.0,Low,L
German Shepherd,29.8,65.8,48.9,5,39.0,Medium,L
Rottweiler,49.3,77.6,46.7,1,65.0,High,L
German Shepherd,,78.1,49.0,1,55.0,Low,L
Beagle,11.6,50.2,30.3,2,28.0,High,M
Boxer,27.3,69.9,39.9,3,11.0,Medium,L
Dachshund,11.6,39.0,27.4,5,58.0,Low,S
Rottweiler,36.9,85.0,55.3,6,20.0,High,XL
Bulldog,20.1,63.9,35.9,2,81.0,Medium,M
Labrador,30.6,73.6,42.3,7,1.0,High,L
Boxer,27.5,74.8,39.5,4,35.0,Medium,L
Dachshund,8.6,48.7,30.1,1,97.0,High,S
German Shepherd,39.9,84.3,54.6,6,75.0,Medium,XL
Golden Retriever,27.6,69.1,42.0,5,120.0,Medium,L
Chihuahua,3.7,27.3,18.8,6,98.0,Medium,XS
Rottweiler,36.6,94.7,58.5,7,82.0,High,XL
Dachshund,9.3,47.1,30.3,4,14.0,Medium,S
Poodle,22.0,51.0,36.1,3,45.0,Low,M
Beagle,11.0,53.7,35.9,2,24.0,High,M
Chihuahua,3.3,27.6,18.2,6,36.0,High,XS
Labrador,28.9,66.2,38.1,6,115.0,Low,L
Beagle,9.9,51.9,37.6,3,93.0,Medium,M
Golden Retriever,30.2,74.4,41.5,1,38.0,Medium,L
Dachshund,7.2,40.8,29.1,4,118.0,Medium,S
Poodle,21.3,59.5,39.0,7,26.0,High,M
Labrador,26.8,70.2,44.4,2,43.0,High,L
Dachshund,10.7,40.3,28.4,7,106.0,Low,S
Beagle,9.3,50.7,31.9,7,57.0,Medium,M
Chihuahua,2.3,27.5,24.2,7,117.0,High,XS
Bulldog,21.4,59.1,43.2,2,23.0,High,M
Golden Retriever,32.2,67.3,38.9,6,43.0,High,L
Dachshund,8.3,47.3,31.5,2,100.0,Medium,S
Boxer,28.9,74.6,36.8,6,49.0,Medium,L
Chihuahua,3.1,26.7,15.9,1,67.0,High,XS
Boxer,,65.9,38.7,1,8.0,High,L
Labrador,26.8,82.6,47.4,2,94.0,Low,XL
Rottweiler,53.0,85.1,49.8,4,19.0,Low,XL
Rottweiler,38.9,84.0,52.5,3,42.0,High,XL
Rottweiler,48.9,83.5,46.5,3,107.0,Low,XL
Rottweiler,42.7,80.4,55.3,6,80.0,Medium,XL
Dachshund,11.8,48.4,33.3,4,27.0,Low,S
Golden Retriever,30.3,69.5,42.4,7,99.0,Medium,L
Labrador,27.3,72.5,49.7,7,75.0,High,L
Chihuahua,2.1,26.1,22.0,1,44.0,High,XS
Boxer,26.4,72.1,40.3,1,23.0,Medium,L
Labrador,30.1,79.1,39.4,1,12.0,Medium,L
Golden Retriever,28.8,78.9,45.5,5,26.0,Medium,L
Boxer,31.0,69.1,38.4,7,49.0,Medium,L
Labrador,34.6,80.2,49.9,5,3.0,Medium,XL
German Shepherd,36.3,74.0,40.3,6,64.0,High,L
Chihuahua,2.3,26.0,19.5,3,6.0,Low,XS
Dachshund,7.4,36.7,31.3,7,6.0,High,S
Bulldog,23.7,67.6,38.8,3,2.0,Low,L
Bulldog,23.0,61.8,37.8,5,61.0,Medium,M
German Shepherd,26.3,73.3,43.1,7,95.0,High,L
Chihuahua,2.6,27.6,17.9,4,51.0,Low,XS
Golden Retriever,31.1,73.7,39.8,1,57.0,High,L
German Shepherd,35.9,82.1,40.4,2,28.0,Medium,XL
Boxer,31.7,64.3,43.2,1,108.0,Low,M
Boxer,25.4,68.0,44.8,2,89.0,Medium,L
German Shepherd,24.3,67.4,41.1,3,61.0,High,L
Poodle,22.8,47.9,35.4,5,40.0,High,S
Boxer,27.3,60.7,36.1,7,69.0,Medium,M
Poodle,23.1,53.9,37.7,6,112.0,Low,M
Golden Retriever,25.3,77.8,48.2,3,67.0,Low,L
Chihuahua,2.1,27.1,17.2,4,16.0,Medium,XS
Chihuahua,2.4,85.80000000000001,24.4,3,82.0,Low,XS
Beagle,12.7,43.3,30.6,7,14.0,Low,S
Golden Retriever,33.9,65.5,42.5,1,64.0,Low,L
Dachshund,11.7,35.1,27.3,1,101.0,Low,S
German Shepherd,135.0,80.4,46.3,6,29.0,Low,XL
Golden Retriever,30.8,67.0,41.4,7,70.0,High,L
Golden Retriever,30.8,70.6,44.1,2,22.0,Medium,L
Labrador,25.3,72.1,47.6,4,88.0,High,L
Boxer,30.3,70.9,43.3,2,99.0,Medium,L
Boxer,28.4,70.5,43.3,3,97.0,Medium,L
Bulldog,21.4,,,1,120.0,Medium,M
Bulldog,22.0,55.3,39.1,3,62.0,High,M
Bulldog,24.7,59.1,43.4,6,63.0,Medium,M
German Shepherd,34.2,77.3,53.4,4,81.0,Medium,L
Rottweiler,45.2,75.7,56.6,4,64.0,Low,L
Boxer,27.8,72.9,44.1,5,31.0,Medium,L
Boxer,30.5,65.1,44.2,6,76.0,High,L
Golden Retriever,30.3,69.4,47.2,6,110.0,Medium,L
Boxer,28.6,69.1,39.5,1,4.0,Medium,L
Rottweiler,39.1,75.3,57.5,5,109.0,High,L
Boxer,31.7,61.2,37.7,4,83.0,High,M
Boxer,29.9,65.7,44.3,7,57.0,Low,L
Boxer,28.5,63.8,43.4,5,114.0,High,M
Labrador,25.3,82.8,46.5,5,29.0,Low,XL
Golden Retriever,30.8,76.3,47.9,6,117.0,Medium,L
Bulldog,18.3,63.2,38.6,3,108.0,High,M
Labrador,34.1,65.1,46.6,6,6.0,Medium,L
Golden Retriever,26.9,77.7,39.9,3,89.0,Low,L
Golden Retriever,33.7,226.5,44.9,7,6.0,Medium,L
Dachshund,9.9,45.8,30.2,6,59.0,Low,S
Golden Retriever,29.7,74.1,38.3,1,103.0,Medium,L
Rottweiler,44.5,78.4,55.8,1,117.0,Medium,L
Labrador,33.0,73.8,44.6,2,54.0,Low,L
Poodle,19.7,47.5,38.0,7,49.0,Low,S
Bulldog,24.5,66.2,43.6,4,,Low,L
Boxer,30.7,66.5,38.4,3,5.0,High,L
Dachshund,9.4,45.7,28.4,7,96.0,High,S
Golden Retriever,32.4,67.3,44.5,3,60.0,Low,L
Chihuahua,3.6,33.3,,6,102.0,High,XS
Rottweiler,58.3,76.9,55.3,5,53.0,High,L
German Shepherd,32.3,65.0,54.2,5,44.0,High,L
Boxer,29.3,62.0,42.8,4,112.0,Low,M
Chihuahua,3.4,25.3,21.6,1,108.0,High,XS
Rottweiler,36.0,95.2,59.3,2,118.0,Medium,XL
Boxer,30.8,64.2,43.8,6,9.0,Low,M
Rottweiler,58.2,79.1,51.7,6,49.0,Low,L
Bulldog,23.3,64.7,36.6,2,16.0,Low,M
Golden Retriever,32.3,67.3,44.8,1,32.0,Low,L
Labrador,29.0,75.3,49.7,3,110.0,High,L
Poodle,24.3,56.0,30.4,5,22.0,Low,M
Golden Retriever,31.5,68.9,42.8,7,83.0,Low,L
Dachshund,12.2,44.3,25.2,7,12.0,Low,S
Poodle,16.8,59.8,30.5,7,56.0,Medium,M
Chihuahua,2.0,25.5,17.5,1,14.0,Medium,XS
Bulldog,18.2,60.2,41.1,2,70.0,Medium,M
Beagle,13.2,42.1,31.6,4,28.0,Medium,S
Boxer,29.0,69.1,38.7,7,33.0,Medium,L
Dachshund,7.1,45.1,34.6,7,17.0,Low,S
Labrador,32.6,78.9,43.6,3,15.0,High,L
German Shepherd,40.0,72.8,48.4,6,58.0,High,L
Beagle,12.7,48.5,38.0,2,76.0,High,S
Dachshund,8.6,40.7,33.3,5,14.0,Medium,S
German Shepherd,25.5,69.5,45.8,3,76.0,High,L
Boxer,31.3,67.9,39.7,3,,High,L
Poodle,24.0,56.8,36.5,5,53.0,High,M
Boxer,31.0,62.5,42.9,3,36.0,Medium,M
Bulldog,100.0,,44.7,5,99.0,Medium,M
Rottweiler,42.6,93.2,53.7,4,63.0,High,XL
Labrador,30.1,77.9,41.8,5,90.0,High,L
Chihuahua,2.9,27.0,22.3,3,51.0,Low,XS
Rottweiler,44.1,93.3,59.0,5,83.0,High,XL
Dachshund,10.1,48.5,31.7,3,103.0,Medium,S
Boxer,26.3,62.6,39.0,1,94.0,High,M
Beagle,12.3,49.5,30.2,3,108.0,Low,S
Dachshund,10.2,37.0,29.6,1,24.0,High,S
Dachshund,11.3,41.1,27.3,1,54.0,High,S
Beagle,12.1,45.5,32.9,7,39.0,High,S
Labrador,30.2,65.2,47.5,2,94.0,Medium,L
Beagle,13.3,50.0,38.0,7,91.0,High,M
Poodle,21.3,57.8,34.0,3,91.0,High,M
Rottweiler,41.1,98.0,57.4,3,14.0,High,XL
Poodle,23.5,56.0,32.6,7,89.0,High,M
German Shepherd,29.3,80.7,46.8,1,53.0,Medium,XL
German Shepherd,29.1,67.7,47.1,4,116.0,Medium,L
Dachshund,13.0,41.9,25.1,7,19.0,High,S
Boxer,31.5,61.2,37.1,4,82.0,Medium,M
Boxer,31.8,73.2,41.5,5,95.0,High,L
Chihuahua,3.6,32.6,18.6,3,87.0,High,XS
Golden Retriever,29.1,69.1,47.5,3,6.0,High,L
German Shepherd,22.5,69.9,45.1,2,78.0,Low,L
Dachshund,8.3,47.8,26.3,4,78.0,High,S
Bulldog,23.6,59.1,41.6,1,15.0,High,M
Bulldog,124.5,63.7,40.7,4,44.0,Low,M
Beagle,12.3,40.3,35.1,3,119.0,Low,S
Poodle,15.0,48.0,38.1,5,91.0,Low,S
Beagle,9.2,42.7,32.5,6,16.0,High,S
Chihuahua,2.5,26.8,23.8,1,43.0,Medium,XS
Golden Retriever,29.0,70.7,38.1,1,85.0,Medium,L
German Shepherd,27.8,75.7,44.4,4,,Low,L
Beagle,13.1,50.3,32.5,4,92.0,High,M
Golden Retriever,29.5,68.0,46.3,7,105.0,High,L
Chihuahua,3.7,34.3,21.0,2,62.0,Low,XS
Golden Retriever,29.9,70.8,38.3,6,2.0,High,L
Bulldog,21.4,56.3,36.4,7,25.0,Low,M
Labrador,28.5,79.6,43.3,3,94.0,Low,L
Bulldog,20.4,55.8,37.0,1,104.0,High,M
Boxer,128.5,67.3,40.4,6,69.0,High,L
Chihuahua,2.4,32.7,18.3,2,64.0,Low,XS
Labrador,34.6,70.4,40.5,3,39.0,High,L
Labrador,35.3,73.5,44.7,2,109.0,Low,L
German Shepherd,29.2,75.6,,3,108.0,Low,L
Beagle,13.2,52.4,30.4,5,72.0,Low,M
German Shepherd,36.0,66.0,44.6,1,34.0,Medium,L
Golden Retriever,28.6,70.9,44.5,3,23.0,Low,L
Dachshund,13.4,43.9,26.2,2,75.0,Low,S
German Shepherd,36.0,77.8,42.9,1,64.0,Medium,L
Bulldog,23.1,68.8,38.0,2,96.0,Low,L
Dachshund,13.4,37.4,26.0,1,51.0,High,S
Labrador,34.7,67.0,46.7,4,109.0,Low,L
Dachshund,8.4,49.8,32.3,3,107.0,Medium,S
Golden Retriever,32.5,66.5,39.7,1,74.0,High,L
German Shepherd,34.4,74.0,51.2,5,47.0,Low,L
Beagle,12.7,49.6,36.4,1,62.0,Medium,S
Golden Retriever,27.9,72.8,39.4,5,117.0,Low,L
Poodle,22.8,56.5,36.2,4,,High,M
Dachshund,13.7,40.1,26.1,1,56.0,Medium,S
Chihuahua,2.6,31.2,21.3,6,24.0,Low,XS
Rottweiler,57.5,84.4,53.1,1,47.0,High,XL
Poodle,20.8,45.1,38.8,4,74.0,High,S
Poodle,16.6,53.0,36.6,5,65.0,High,M
Poodle,15.2,56.9,32.6,5,100.0,Low,M
Bulldog,21.9,68.7,40.8,2,111.0,High,L
Boxer,29.5,65.0,35.3,5,70.0,Low,L
Rottweiler,40.0,86.9,53.7,1,112.0,High,XL
Beagle,13.0,49.8,35.2,1,70.0,Medium,S
Poodle,16.7,53.9,31.2,1,75.0,High,M
Bulldog,24.0,57.8,41.6,4,104.0,Low,M
Rottweiler,38.2,85.3,59.3,6,39.0,Medium,XL
Dachshund,7.7,44.5,28.3,4,15.0,High,S
Poodle,16.6,58.8,30.7,7,36.0,High,M
Chihuahua,2.8,30.8,21.2,2,21.0,High,XS
German Shepherd,35.1,79.5,42.5,3,20.0,High,L
German Shepherd,31.2,72.1,40.7,1,37.0,High,L
German Shepherd,36.2,72.7,48.7,1,22.0,Medium,L
Boxer,31.0,65.1,35.7,7,82.0,Medium,L
Chihuahua,2.8,25.3,17.0,1,116.0,Low,XS
Bulldog,20.9,172.5,35.7,5,109.0,High,M
Poodle,17.9,55.6,30.2,7,119.0,High,M
Boxer,26.5,74.2,37.2,3,106.0,Low,L
German Shepherd,23.2,76.6,,6,70.0,High,L
Dachshund,11.3,38.8,26.0,2,9.0,High,S
Poodle,24.5,58.6,37.7,1,39.0,High,M
German Shepherd,,82.3,49.1,7,54.0,Low,XL
Beagle,12.5,52.9,35.7,1,6.0,High,M
Beagle,13.5,51.7,37.6,3,48.0,High,M
Labrador,33.4,73.1,44.4,5,41.0,Low,L
Boxer,30.9,72.4,40.9,7,112.0,High,L
Chihuahua,3.7,33.3,18.0,4,32.0,Low,XS
Labrador,34.1,67.8,48.0,1,54.0,Low,L
Dachshund,13.5,43.6,27.7,7,88.0,High,S
Poodle,19.3,45.0,30.7,6,87.0,Low,S
Dachshund,14.6,47.4,28.9,2,43.0,Low,S
German Shepherd,35.6,75.1,52.1,7,118.0,Low,L
Beagle,12.7,52.3,36.6,7,108.0,Low,M
Dachshund,8.0,42.8,34.3,5,62.0,High,S
Beagle,9.2,44.4,37.8,5,68.0,Medium,S
Beagle,11.9,54.0,39.5,2,40.0,Low,M
Golden Retriever,25.1,79.6,49.4,1,82.0,Low,L
Boxer,26.1,66.6,43.7,5,30.0,Low,L
Boxer,26.7,61.6,42.1,4,46.0,Low,M
German Shepherd,30.5,70.8,46.2,7,19.0,Low,L
Golden Retriever,33.4,,46.9,1,44.0,High,L
Poodle,23.3,53.1,34.6,7,6.0,Unknown,M
Beagle,13.3,43.5,34.9,4,47.0,High,S
Rottweiler,50.6,85.5,54.2,5,118.0,High,XL
Golden Retriever,30.7,76.3,47.7,1,99.0,High,L
Beagle,12.5,49.1,31.6,1,75.0,Low,S
German Shepherd,24.1,80.7,41.0,1,117.0,Medium,XL
Poodle,19.5,50.5,37.2,7,96.0,Low,M
Rottweiler,54.3,92.0,48.4,6,116.0,Low,XL
Bulldog,,66.5,38.1,5,60.0,High,L
Boxer,27.5,71.6,43.9,5,106.0,High,L
Bulldog,19.5,61.7,43.7,4,90.0,High,M
Chihuahua,2.7,29.9,17.0,2,119.0,High,XS
Chihuahua,3.6,26.9,18.6,7,66.0,Low,XS
Rottweiler,53.7,83.9,55.6,4,46.0,Medium,XL
Rottweiler,,95.6,57.5,5,64.0,High,XL
Boxer,29.3,64.0,39.0,7,26.0,Medium,M
Beagle,,48.9,32.2,1,15.0,High,S
Boxer,26.8,71.9,40.6,1,108.0,High,L
Chihuahua,3.9,32.8,16.9,6,95.0,Medium,XS
German Shepherd,37.3,79.3,48.5,6,29.0,Medium,L
Chihuahua,2.0,30.3,19.7,4,103.0,Medium,XS
Poodle,22.6,48.7,35.1,4,16.0,Medium,S
Rottweiler,35.9,84.4,46.0,2,104.0,Medium,XL
Dachshund,10.1,111.0,34.1,6,58.0,Low,S
Dachshund,14.8,119.39999999999999,26.9,6,21.0,High,S
Dachshund,10.0,40.6,32.8,4,92.0,Low,S
Dachshund,13.2,42.9,29.9,1,9.0,Medium,S
German Shepherd,24.2,68.6,43.9,1,11.0,Low,L
Golden Retriever,35.0,68.6,48.1,7,42.0,High,L
Boxer,29.7,63.3,40.6,4,102.0,High,M
German Shepherd,39.0,76.4,52.2,3,27.0,Medium,L
Chihuahua,3.6,31.1,18.5,5,65.0,Medium,XS
Golden Retriever,27.1,70.4,47.3,1,74.0,Medium,L
German Shepherd,32.2,65.7,47.3,5,42.0,Medium,L
Labrador,28.3,74.4,48.0,5,48.0,Medium,L
German Shepherd,31.5,78.3,41.3,4,5.0,Low,L
Labrador,29.2,77.9,46.5,6,104.0,Medium,L
Rottweiler,,95.0,50.0,2,62.0,High,XL
Boxer,30.2,74.0,36.6,6,53.0,High,L
Bulldog,22.2,55.7,36.0,1,62.0,Low,M
Labrador,31.5,81.0,46.3,5,85.0,Low,XL
Golden Retriever,34.8,72.1,45.5,6,7.0,Low,L
Golden Retriever,34.2,67.0,47.3,2,108.0,High,L
Labrador,28.3,81.3,45.9,7,26.0,High,XL
Bulldog,20.7,60.3,44.9,1,43.0,High,M
Labrador,29.6,70.8,46.6,3,67.0,Low,L
Rottweiler,59.3,80.9,45.3,7,20.0,Medium,XL
Dachshund,8.3,40.9,28.9,7,91.0,High,S
Boxer,31.5,69.6,41.2,2,5.0,High,L
Labrador,34.8,82.1,45.2,6,112.0,High,XL
German Shepherd,22.9,,54.5,4,17.0,High,XL
Poodle,20.2,52.7,36.8,1,22.0,Low,M
Beagle,13.7,45.5,36.8,2,86.0,Low,S
Beagle,13.5,44.7,33.6,5,101.0,Medium,S
Beagle,13.8,46.7,32.9,1,42.0,Low,S
Labrador,29.8,67.3,46.3,2,3.0,Low,L
Boxer,31.9,70.8,38.3,3,35.0,High,L
Chihuahua,3.0,30.5,18.4,4,60.0,High,XS
Poodle,19.0,52.8,31.0,3,75.0,Medium,M
Chihuahua,3.4,33.9,25.0,6,99.0,Low,XS
Labrador,,76.8,40.7,6,90.0,Low,L
German Shepherd,26.5,73.3,50.6,4,29.0,Low,L
Boxer,26.9,74.5,35.6,2,34.0,High,L
Dachshund,9.0,39.4,,4,43.0,High,S
Dachshund,7.9,48.1,34.5,1,13.0,Low,S
Golden Retriever,27.7,74.4,46.0,1,118.0,High,L
Chihuahua,3.8,25.4,22.1,6,101.0,Low,XS
Dachshund,10.9,49.4,27.6,4,66.0,Medium,S
Dachshund,13.9,36.3,25.9,6,26.0,High,S
German Shepherd,32.5,75.6,50.2,2,113.0,Medium,L
Bulldog,19.5,63.4,41.3,6,111.0,Medium,M
Boxer,31.2,70.4,42.4,6,76.0,High,L
Dachshund,11.4,39.7,31.3,4,,High,S
Labrador,33.0,76.3,44.0,6,95.0,High,L
Chihuahua,2.8,35.0,16.5,4,99.0,Medium,S
Rottweiler,40.5,93.5,55.5,1,97.0,Medium,XL
Bulldog,18.9,56.1,43.0,6,76.0,Medium,M
Bulldog,20.5,67.3,35.7,6,39.0,Medium,L
German Shepherd,28.5,71.2,46.7,3,76.0,High,L
Boxer,26.8,70.5,35.7,5,81.0,Low,L
Boxer,29.1,66.8,38.5,2,16.0,Medium,L
Dachshund,12.9,46.2,26.2,1,106.0,High,S
Beagle,9.7,49.3,35.6,4,17.0,High,S
Poodle,19.9,49.2,34.4,6,110.0,High,S
Chihuahua,2.5,34.5,21.7,3,59.0,High,XS
Beagle,12.8,49.0,33.2,5,39.0,Low,S
Labrador,27.6,81.0,39.6,4,5.0,Medium,XL
Chihuahua,2.8,27.8,16.3,2,86.0,Low,XS
Rottweiler,35.5,99.7,45.0,6,28.0,Low,XL
Beagle,9.1,40.8,36.9,6,15.0,Medium,S
Boxer,25.8,72.0,36.3,7,75.0,High,L
Dachshund,9.8,37.3,28.3,1,77.0,High,S
German Shepherd,26.5,74.9,52.6,2,100.0,High,L
Poodle,24.1,51.3,38.8,3,15.0,Medium,M
Labrador,32.7,81.2,48.0,4,54.0,Medium,XL
Golden Retriever,25.5,66.7,39.1,2,48.0,High,L
Dachshund,10.5,47.8,33.8,6,36.0,High,S
German Shepherd,29.4,66.2,40.2,1,84.0,High,L
Beagle,10.3,46.0,30.1,4,102.0,Low,S
Poodle,18.2,47.6,37.5,7,93.0,Medium,S
Beagle,9.8,44.3,30.2,3,24.0,Medium,S
Chihuahua,2.3,28.5,17.9,1,34.0,Low,XS
Beagle,,46.0,37.7,3,70.0,Medium,S
Rottweiler,51.5,,49.9,1,49.0,Low,L
Beagle,,54.3,39.6,5,90.0,Medium,M
